"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 05 14:53:42 IST 2025","Wed Nov 05 14:54:03 IST 2025","20151","","Login","","Valid Login","","Valid Login",""
"passed","Wed Nov 05 14:53:42 IST 2025","Wed Nov 05 14:54:03 IST 2025","20500","Surefire suite","Surefire test","com.archana.meta.runners.CucumberTestRunner","com.archana.meta.runners.CucumberTestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Nov 05 14:54:16 IST 2025","Wed Nov 05 14:54:20 IST 2025","4428","","Login","","Invalid login shows an error","","Invalid login shows an error",""
"failed","Wed Nov 05 14:32:46 IST 2025","Wed Nov 05 14:32:52 IST 2025","6288","Surefire suite","Surefire test","com.archana.meta.runners.CucumberTestRunner","com.archana.meta.runners.CucumberTestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Nov 05 14:54:09 IST 2025","Wed Nov 05 14:54:16 IST 2025","6380","","Login","","Invalid login shows an error","","Invalid login shows an error",""
"failed","Wed Nov 05 14:54:03 IST 2025","Wed Nov 05 14:54:09 IST 2025","6529","","Login","","Invalid login shows an error","","Invalid login shows an error",""
"passed","Wed Nov 05 14:54:16 IST 2025","Wed Nov 05 14:54:20 IST 2025","4444","Surefire suite","Surefire test","com.archana.meta.runners.CucumberTestRunner","com.archana.meta.runners.CucumberTestRunner","runScenario","Runs Cucumber Scenarios",""
"failed","Wed Nov 05 14:32:46 IST 2025","Wed Nov 05 14:32:52 IST 2025","6276","","Screenshot Test","","Force a failure to test screenshot","","Force a failure to test screenshot",""
